[family] are due to _travel_
[jauhar] will _travelto_ 
[rajeesh director] will _travelto_
[ste] _travelto_ to _location_
[muneer] _travelto_ to _location_
authorize [diogo nunes] to _travelto_ to _location_
[tarek] will _travelto_ to mall of _location_
[men] _travelto_ to the _location_
[brother] _travelto_ to _location_
[dada] will _travelto_
[ziad] will _travel_
[ruud] is due to _travel_
[muhammad] cancelled his _travel_
[xxx]'s _travel_
[xxx]'s _travel_
[xxx]'s _travel_
[xxx]'s _travel_
[xxx] on _travel_
[xxx] _travelfrom_
[xxx]'s _travel_
[xxx] _travelto_
[xxx] is _travelto_
[xxx] will _travelto_
[xxx] _travelto_
[xxx] _travelto_
[xxx] _travel_
[xxx] take a _travel_
[xxx] take _travel_
[xxx] _travel_
