Aaba
Bakoura
Ballouneh
Bane
Bani Haiyane
Bani Sakher
Baouchriyeh
Baraachit
Barghoun
Barich
Barja
Barouk
Barqa
Barr Elias
Barsa
Barti
Baskinta
Baslouqit
Bater
Batha
Batloun
Batoulay
Batroumine
Batroun
Bayqoun
Bayssour (Aaley)
Bayssour (Jezzine)
Bazaaoun
Bazouriyeh
Bazyoun
Bchamoun
Bchannine
Bcharreh
Bcheaali
Bchennata
Bchetfine
Bchilleh
Bdadoun
Bdebba
Bebnine
Bechmizzine
Bechouat
Bechtoudar
Beddaoui
Bedghane
Bedias
Bednayel (Baalbek)
Bednayel (Koura)
Behdaydat
Behouaita
Behouara
Beino
Beit Aabeid
Beit Aaoukar
Beit Ayoub
Beit Chabab
Beit Chama
Beit Chlala
Beit Ech Chaar
Beit Ed Dine
Beit El Faqs
Beit El Hajj
Beit El Haouch
Beit El Kekko
Beit Et Tachm
Beit Habbaq
Beit Haouik
Beit Lahia
Beit Lif
Beit Mellat
Beit Menzer
Beit Meri
Beit Yahoun
Beit Younes
Bejjeh
Bekhaaz
Benouati
Benouati (Jezzine)
Bent Jbeil
Beqaata
Beqaatet Aachqout
Beqaatet Kanaane
Berbara
Berbara (Aakkar)
Berhalioun
Berqayel
Bestiyat
Bettal
Beyrouth
Bezbina (Aakkar)
Bhabbouch
Bhamdoun Ed Dayaa
Bhamdoun El Mhatta
Bhannine
Bhannine (Minieh-Danniyeh)
Bhayri
Bhersaf
Bichtlida
Bijdarfil
Bikfaya
Billa
Binnay
Bintaael
Bireh (Aakkar)
Bireh (Chouf)
Bireh (Rachaiya)
Bisri
Bissariyeh
Biyad
Bizhel
Bkassine
Bkeftine
Bkhichtay
Bkifa
Blaouza
Blat
Blat (Marjaayoun)
Blaybel
Blida
Bmahray
Bmakine
Bmaryam
Bnaafoul
Bnabil
Bnehran
Bneshaai
Bohsas
Boqsmaiya
Borj (Aakkar)
Borj Ech Chemali
Borj El Aarab
Borj El Brajneh
Borj El Mlouk
Borj El Yahoudiyeh
Borj Hammoud
Borj Qalaouiyeh
Borj Rahhal
Botmeh
Bou Zrideh
Bouar
Bouarej
Bouayda
Bouayda (Hermel)
Bouday
Bourgheliyeh
Bourghos
Bourjein
Bouslaya
Boussit
Boustane
Boustane (Hermel)
Boustane El Herch
Boutchay
Bqaa Kafra
Bqaa Safrine
Bqaatouta
Bqarsouna
Bqennaya
Bqerqacha
Bqerzla
Bqosta
Braiqeaa
Bramiyeh
Breissat
Brih
Brissa
Brital
Broummana
Bsaba (Baabda)
Bsaba (Chouf)
Bsalim
Bsarma
Bsatine (Aaley)
Bsatine (Fsiqine)
Bsebaal
Bserrine
Bsous
Btaaboura
Btalloun
Btater
Btedaai
Bteddine El Liqch
Bteghrine
Btekhnay
Btermaz
Bterram
Btibyat
Btouratij
Byaqout
Bzal
Bzebdine
Bziza
Bzoummar
Chaaitiyeh
Chaat
Chabriha
Chadra
Chahtoul
Chamaa
Chamate
Chammis
Chanay
Chane
Chaouiyeh El Qnaytra
Chaqdouf (Aakkar)
Chaqra 
Charbila
Charbine El Hermel
Charoun
Charqiyeh
Chartoun
Chatine
Chbaniyeh
Chebaa
Chebrqiyet Aammiq
Chehabiyeh
Chehour
Cheikh Aayache (Aakkar)
Cheikh Mohammad
Cheikh Taba
Cheikh Zennad
Cheikhlar
Chekka
Chhim
Chibtine
Chihine
Chikhane
Chimlane
Chiyah
Chlifa
Chmistar
Chmout
Chnanaair
Chouaghir El Faouqa
Chouaghir Et Tahta
Choualiq
Chouane
Chouaya
Chouaya
Choueifat
Choueir
Chouit
Choukine
Chourit
Chqedif
Chrine
Chtaura
Daael
Daghleh
Dahr Abi Yaghi
Dahr El Ahmar
Dahr El Ain
Dahr El Hossein
Dahr El Mghara
Dahr Es Souane
Dahr Laissineh
Dahr Qambar
Dakoueh
Dalhamiyeh
Dalhoun
Damour
Daoura (Aakkar)
Daoussa
Daqqoun
Dar Baaechtar
Dar Chmizzine
Dar El Ouassaa
Daraaoun
Daraiya (Chouf)
Daraiya (Kesrouane)
Daraiya (Zgharta)
Darb Es Sim
Darine (Aakkar)
Darya
Daychouniyeh
Dayret En Nahr El Kabir (Khat Petrol) 
Dbayeh
Debaael 
Debaal
Debl
Deddeh
Deir Aames
Deir Aammar
Deir Ain Ej Jaouzeh
Deir Baba
Deir Billa
Deir Chamra
Deir Dalloum
Deir Dourit
Deir El Aachayer
Deir El Ahmar
Deir El Ghazal
Deir El Harf
Deir El Qamar
Deir El Qottara
Deir Ez Zahrani
Deir Jannine
Deir Khouna
Deir Kifa (Sour)
Deir Koucheh
Deir Mar Elias Kahlouniyeh
Deir Mar Roukoz
Deir Mimas
Deir Nbouh
Deir Ntar
Deir Qanoun El Ain
Deir Qanoun En Nahr
Deir Qattine 
Deir Qoubel
Deir Siriane
Deir Tahniche
Deir Tamich
Dekouaneh
Dellafi
Derdghaya
Dfoun
Dhayra
Dibbabiyeh Ech Charqiyeh
Dibbine
Dibbiyeh
Dik El Mehdi
Dimane
Dlaybeh
Dlebta
Dmalsa
Dmit
Douair
Douair Aadouiyeh
Douair Er Remmane
Douar (Matn)
Douma
Douq
Douris (Insar)
Eddeh
Eddeh (Batroun)
Ehden
Ehmej
Ejbaa
Enfeh
Erkay
Falougha
Fanar
Faouarat Jaafar
Faraya
Fardh
Fardis
Fatqa
Fatreh
Fayadiyeh
Faytroun
Fekeheh
Ferhet
Fghal
Fiaa
Fidar
Fissane
Flaoueh
Fnaydeq
Fourzol
Frat
Fraydis (Aakkar)
Fraydis (Chouf)
Fraykeh
Froun
Ftahat
Furn Ech Chebbak
Ghabat
Ghabbatiyeh
Ghabeh
Ghabet Bolonia
Ghaboun
Ghalboun
Ghandouriyeh
Gharifeh
Gharzouz
Ghassaniyeh
Ghazir
Ghaziyeh
Ghazzeh
Ghbaleh
Ghbayreh
Ghidras
Ghineh
Ghorfine
Ghosta
Ghouma
Ghzayleh
Habbouch
Habchit (Aakkar)
Habil
Habramoun
Hadath (Baabda)
Hadath (Baalbek)
Hadath Ej Joubbeh
Hadchit
Haddatha
Hadtoun
Hailane
Hajjeh
Hakour 
Halate
Halba
Halloussiyeh
Ham
Hamat
Hammana
Hanaouay (Sour)
Hanine
Haouara
Haouch Barada
Haouch Ed Dahab
Haouch El Ghanam
Haouch El Harimeh
Haouch El Qinnaabeh (Rachaiya)
Haouch En Nabi
Haouch Er Rafqa
Haouch Es Sayed Aali
Haouch Hala
Haouch Snaid
Haouch Tall Safiyeh
Haouchab
Haour Taala
Haqel
Haql El Aazimeh
Harbata
Harbouna
Hardine
Haret Baassir
Haret El Botm
Haret El Faouar
Haret El Fikani
Haret El Khasseh
Haret El Maasser
Haret En Naameh
Haret Es Sitt
Haret Hamzeh
Haret Hreik
Haret Jandal
Haret Saida
Harf
Harf (Ardeh)
Harf (Miziara)
Harf Es Sayad
Harfouch
Harharaya
Harimeh Es Soughra
Hariq Zgharta
Hariqa (Hermel)
Hariss
Harissa
Harouf
Hasbaiya
Hasbaiya El Matn
Hasroun
Hasrout
Hassaniyeh
Hayata
Hayssa
Haytla (Aakkar)
Haytouleh
Haytoura
Hayzouq
Hazerta
Hazmiyeh (Baabda)
Hazmiyeh (Minieh-Danniyeh)
Hbaline
Hdayneh
Hebbariyeh
Heloueh
Henniyeh
Heri
Hermel
Hichi
Hidab
Hilta
Himlaya
Hizzine
Hjoula
Hlabta
Hlaliyeh (Baabda)
Hlaliyeh (Saida)
Hmaireh (Aakkar)
Hmaireh (Hermel)
Hmairi
Hmaiss
Hnaider
Hokr Ech Cheikh Taba
Hokr Ed Dahri
Homsiyeh
Hosrayel
Houaich
Houla
Houmal
Houmine El Faouqa
Houmine Et Tahta
Hrajel
Hrar
Hsarat
Hsayn
Hsoun
Iaal
Iaat
Ibl Es Saqi
Ighbeh
Ighmid
Ijdaabrine
Ijdabra
Ilat
Insar
Insariyeh
Izal
Jaaita
Jabbouleh
Jadra
Jahliyeh
Jaj
Jalala
Jall Ed Dib
Janneh
Jarjouaa
Jarmaq
Jayroun
Jazira (Beqaa Ouest)
Jbaa
Jbaa (Chouf)
Jbal El Botm
Jbeil
Jdaideh (Chouf)
Jdaideh (Marjaayoun)
Jdaidet Ej Joumeh
Jdaidet El Fekeheh
Jdaidet El Matn
Jdaidet El Qayteaa
Jdaidet Ghazir
Jdita
Jebaa
Jebla
Jebrayel (Aakkar)
Jeddayel
Jennata
Jenta
Jernaya
Jezzine
Jibbain
Jibchit
Jisr El Qadi
Jiyeh
Jleiliyeh
Jlisseh
Jmaijmeh
Jmailiyeh
Jouaiya
Jouar
Jouar El Hachich
Jouar El Haouz
Joubb Jannine
Joubbaniyeh
Joun
Jounieh
Jouret Arsoun
Jouret Bedrane
Jouret El Ballout
Jouret Et Termos
Jouret Mhad
Jrabta
Jrane
Kaff El Malloul
Kafr
Kafra (Bent Jbeil)
Kaftoun
Kahhaleh
Kahlouniyeh (Chouf)
Kamed El Laouz
Kaoukaba
Kaoukaba (Rachaiya)
Kaouthariyet Es Siyad
Karkha
Karm Aasfour 
Karm El Mohr
Karm Saddeh
Karm Zebdine
Karmeh (Qommol)
Kefraiya (Beqaa Ouest)
Kefraiya (Koura)
Kefraiya (Saida)
Kefraiya (Zgharta)
Ketermaya
Keyfoun
Kfar Aabida
Kfar Aammay
Kfar Aaqab
Kfar Aaqqa
Kfar Baal
Kfar Bebnine
Kfar Beit
Kfar Chakhna
Kfar Chellal (Saida)
Kfar Chellane (Minieh-Danniyeh)
Kfar Chima
Kfar Chouba
Kfar Dabach
Kfar Dane
Kfar Denis
Kfar Dibiane
Kfar Dlaqous
Kfar Dounine
Kfar Falous
Kfar Faqoud
Kfar Fila
Kfar Fou
Kfar Habou
Kfar Hamam
Kfar Haoura
Kfar Harra
Kfar Hata (Koura)
Kfar Hata (Zgharta)
Kfar Hatna
Kfar Hatta
Kfar Hay
Kfar Hay (Chouf)
Kfar Hazir
Kfar Hilda
Kfar Him
Kfar Houneh
Kfar Jarra
Kfar Jrayf
Kfar Kiddeh
Kfar Kila
Kfar Masshoun
Kfar Matta
Kfar Melki (Aakkar)
Kfar Melki (Saida)
Kfar Michki
Kfar Nabrakh
Kfar Niss
Kfar Noun
Kfar Qahel
Kfar Qatra
Kfar Qouq
Kfar Roummane
Kfar Saroun (Koura)
Kfar Selouane
Kfar Sghab
Kfar Shlaimane
Kfar Sir
Kfar Taala
Kfar Tay
Kfar Tay (Matn)
Kfar Tibnit
Kfar Toun
Kfar Yachit
Kfar Yassine
Kfar Zabad
Kfar Zeina
Kfayr Ez Zait
Kfifane
Kfoun
Kfour
Kfour
Kfour El Aarbi
Khallet El Mtain
Khalouat
Khalouat Falougha
Kharayeb (Hermel)
Kharayeb (Saida)
Kharbet
Kharnoub
Khartoum
Khiara
Khiara El Aatiqa
Khinchara
Khirbet Bisri
Khirbet Char
Khirbet Daoud (Aakkar)
Khirbet Qanafar
Khirbet Rouha
Khirbet Selm
Khiyam
Khodr (Baalbek)
Khreibeh
Khreibeh (Baabda)
Khreibeh (Baalbek)
Khreibeh (Chouf)
Khreibet Ej Jindi
Khzaiz
Klilayeh
Kneisseh
Kneisseh (Aakkar)
Kneisseh (Baabda)
Kneisseh (Baalbek)
Kneisseh (Chouf)
Kouachra
Kouakh
Koubba
Koucha
Koueikhat
Kounine
Kour
Kousba
Kroum Aarab
Laboueh
Lala
Laqlouq
Lassa
Laylakeh
Lebaa
Lehfed
Libbaya
Louayzeh
Louayzeh (Jezzine)
Loubieh
Loussia
Maad
Maamariyeh
Maaniyeh
Maarab
Maaraboun
Maarakeh
Maaroub
Maasriti
Maasser Beit Ed Dine
Maasser Ech Chouf
Maaysra
Maaysra (Hermel)
Machghara
Machha
Machmoucheh
Machrah
Machta Hammoud
Machta Hassan
Maghdoucheh
Mahrouna
Majdala (Aakkar)
Majdaloun
Majdalouna
Majdel
Majdel (Koura)
Majdel Aakkar
Majdel Aanjar
Majdel Baana
Majdel Balhis
Majdel El Meouch
Majdel Selm
Majdel Tarchich
Majdel Zoun
Majdelyoun
Majidiyeh
Majzoub
Maknouniyeh
Makseh
Malkiyet Es Sahel
Manara-Hammara
Mansoura (Beqaa Ouest)
Mansouri
Mansouriyeh
Mansouriyeh (Aaley)
Maqneh
Mar Boutros Karm Et Tine
Mar Chaaya
Mar Mama
Mar Mikhayel Bnabil
Mar Moussa Ed Douar
Mar Sarkis
Mar Touma
Mar Youssef
Marj (Beqaa Ouest)
Marj Barja
Marj Ez Zouhour (Dnaibeh)
Marjaba
Marjiyat
Markaba
Markebta
Maroun Er Ras
Masnaa Ez Zohr
Masqa
Masrah
Massa
Massaaoudiyeh
Mayasseh
Maydoun
Mayfadoun
Mayfouq
Mayrouba
Mazboud
Mazmoura
Mazraa (Chouf)
Mazraat Aartoussi
Mazraat Aassaf
Mazraat Ain Ez Zarqa
Mazraat Al Souaydane
Mazraat Baldeh
Mazraat Bani Saab
Mazraat Beit Ghattas
Mazraat Beit Matar
Mazraat Beit Mchaik
Mazraat Beit Slaybi
Mazraat Deir Aaoukar
Mazraat Ed Dahr
Mazraat Ed Dallil
Mazraat El Barghoutiyeh
Mazraat El Fqih
Mazraat El Fradis
Mazraat El Hadira
Mazraat El Kreym
Mazraat El Mathane
Mazraat El Mechref
Mazraat El Qnaytra
Mazraat En Nahr
Mazraat En Nahr
Mazraat En Nahriyeh
Mazraat Er Remassa
Mazraat Es Sayed
Mazraat Es Siyad
Mazraat Et Teffah
Mazraat Et Tout
Mazraat Ez Zalloutieh
Mazraat Haouqa
Mazraat Jinjlaya
Mazraat Qold Es Sabaah
Mazraat Sarada
Mazraat Sejoud (Hermel)
Mazraat Selsata
Mazraat Yachouaa
Mchaa Ej Joubbeh
Mchane
Mchaylha
Mchikha
Mdoukha
Mecherfeh
Mechmech
Mechmech (Aakkar)
Mechref
Mehmarch
Meiss Ej Jabal
Mejdlaiya (Aaley)
Mejdlaiya (Zgharta)
Memneaa
Merdacheh
Meri
Merouahine
Merouaniyeh
Metrit
Mghayreh
Mghayriyeh
Mhaibib
Mhaiydseh
Mhaiydseh (Rachaiya)
Mhammara (Aakkar)
Mharbiyeh
Midane
Mimess
Mina
Minieh
Minyara
Miriata
Miyeh Ou Miyeh
Miziara
Mjadel
Mjeydil (Jezzine)
Mkalles
Mlikh
Moghr El Ahoual
Mohteqra
Moqraq
Moukhtara
Mounjez
Mounsef
Mounseh
Mqaybleh
Mqayteaa
Mradiyeh
Mrah Chdid
Mrah El Habasse
Mrah El Hajj
Mrah El Khaoukh (Akroum)
Mrah El Qorneh
Mrah Es Sfireh
Mrah Es Souaisseh
Mrah Es Srayj
Mrah Ez Ziyat
Mrah Ez Zouaitineh 
Mrah Ras El Ain
Mrayjat
Mrayjat (Zahleh)
Mreijeh
Mristi
Mrouj
Mtain
Mtayleb
Mtolleh
Mzarib
Naameh
Nabatiyeh El Faouqa
Nabatiyeh Et Tahta
Nabay
Nabha Ed Damdoum
Nabha El Mehfara
Nabha El Qeddam
Nabi Ayla
Nabi Chbat
Nabi Chit
Nabi Osmane
Nabi Rchadeh
Nabi Youcheaa
Naffakhiyeh
Nahla
Nahleh (Baalbek)
Nahr Ed Dahab
Nahr Ibrahim
Nahriyeh
Najjariyeh
Nakhleh
Nammoura
Naqoura
Naqqach
Nasriyeh
Nfisseh
Niha
Niha (Batroun)
Niha (Zahleh)
Nimrine
Nmairiyeh
Nouqra
Noura El Faouqa
Noura Et Tahta
Ouadi Baanqoudain
Ouadi Bnehlay
Ouadi Bnit
Ouadi Chahine
Ouadi Chahrour El Aaoulia
Ouadi Chahrour Es Soufla
Ouadi Deir Dourit
Ouadi Ed Deir
Ouadi Ed Delm
Ouadi Ej Jamous
Ouadi El Aaoss
Ouadi El Haour
Ouadi El Karm
Ouadi El Karm (Hermel)
Ouadi El Laymoun
Ouadi En Nahleh
Ouadi En Nayra
Ouadi Er Ratl
Ouadi Es Sitt
Ouadi Et Tourkmane
Ouadi Faara
Ouadi Jezzine
Ouadi Jilo
Ouadi Khaled
Ouadi Qannoubine
Ouajh El Hajar
Ouaqf (Beqaa Ouest)
Ouardaniyeh
Ouarhaniyeh
Ouata Ej Jaouz
Ouata El Mrouj
Ouata Houb
Ouazzani
Qaa Baalbek
Qaa Er Rim
Qaabrine
Qaaqaaiyet Es Snaoubar
Qaaqaiyet Ej Jisr
Qaaqour
Qabaait
Qabb Elias
Qabrikha
Qachlaq
Qadriyeh
Qahmez
Qalaa (Baabda)
Qalamoun
Qalaouiyeh
Qalhat
Qalileh (Nabha)
Qana
Qanafez
Qandoula
Qantara
Qantara (Aakkar)
Qaouzah
Qaraaoun
Qarah Bach
Qarha (Aakkar)
Qarha (Baalbek)
Qarhaiya
Qarqaf
Qarsaita
Qartaba
Qasr (Hermel)
Qatrani
Qattine
Qattine (Minieh-Danniyeh)
Qaytouli
Qbaiyat (Aakkar)
Qboula
Qelaya
Qemmamine
Qenia
Qennabet Broummana
Qennabet Salima
Qennarit
Qlaiaa (Marjaayoun)
Qlaileh
Qleiaat
Qleiaat (Aakkar)
Qloud El Baqieh
Qmatiyeh
Qnat
Qnayouer
Qobbayaa
Qornayel
Qorneh (Aakkar)
Qornet Chehouane
Qornet El Hamra
Qorqraiya
Qortada
Qottara
Qoubbet Chamra
Qoussair
Qoussaya
Qraiyat (Aakkar)
Qraiyeh
Qrayeh (Baabda)
Qsaibeh
Qsaibeh (Baabda)
Qsarnaba
Qtaleh (Baabda)
Qtaleh (Jezzine)
Raachine
Raait
Rabb Et Talatine
Rabiyeh
Racha
Rachaaine
Rachaf
Rachaiya
Rachaiya El Foukhar
Rachana
Rachkida
Rachkiddeh
Rafid (Rachaiya)
Rahbeh
Ram
Ram (Baalbek)
Rama
Ramiyeh
Ramlieh
Ramoute
Raouda (Istabel)
Raouda (Minieh-Danniyeh)
Ras Baalbek Ech Charqi
Ras El Harf
Ras El Matn
Ras Kifa
Ras Masqa
Ras Nahhach
Ras Osta
Rayfoun
Rechdibbine
Recheknanay
Richmaiya
Riha
Rihane (Jezzine)
Rihaneh
Rihaniyeh
Rihaniyeh (Aakkar)
Rijmeh
Rimat
Rimhala
Riyaq
Rmadiyeh
Rmah
Rmaych (Bent Jbeil)
Rmeileh (Chouf)
Rmoul
Rouaiss
Rouaysset El Ballout
Rouaysset En Naamane
Roum
Roumieh
Roumine
Saadine
Saadnayel
Saaideh
Sabbah
Sadd El Baouchriyeh
Saddiqine
Safad El Battikh
Safra
Safra (Bechouat)
Saghbine
Sahlat El May
Sahleh
Saida
Sakhra
Saksakiyeh
Salhiyeh (Saida)
Salima (Baabda)
Sammaqiyeh
Sammouniyeh
Saoufar
Saouiri
Saqi Richmaya
Saqiet El Khayt
Saqiet El Misk
Sarafand
Sarba
Sarhmoul
Saydoun
Sayssouq
Sbouba
Sebaal
Sehayleh
Sejoud
Selaa
Selaata
Selfaya
Semmaqli
Semqaniyeh
Seraaita
Seraal
Serraaine El Faouqa
Serraaine Et Tahta
Sfaileh (Baabdat)
Sfaray
Sfinet Ed Draib
Sfinet El Qayteaa
Sfireh
Sghar
Sibline
Sibnay
Sifri
Sindianet Zeidane
Sinn El Fil
Sinneh
Sir
Sir El Gharbiyeh
Sirjbal
Smaiyeh
Smar Jbeil
Snaiya
Sohmor
Souaisset Aakkar
Souaneh
Souaneh (Marjaayoun)
Souaneh (Nabha Ed Damdoum)
Soultan Yaaqoub
Soultan Yaaqoub Aradi
Soultaniyeh
Souq El Gharb
Sour
Sourat
Srar
Srayri
Srifa
Srobbine
Taaid
Taalabaya
Taanayel
Taazaniyeh
Tabarja
Tacheaa
Tahouitat El Ghadir
Tahouitet En Nahr
Talia
Tall Aabbas Ech Charqi
Tall Aabbas El Gharbi
Tall Bibi
Tall Bireh
Tall El Akhdar
Tall Hmayra
Tall Meaayane
Tallet Chattaha
Talloussa
Tanbourit
Tannoura
Tannourine El Faouqa
Tannourine Et Tahta
Taoufiqiyeh
Tarane
Taraya
Tarchich
Tartij
Taybeh (Baalbek)
Taybeh (Marjaayoun)
Tayr Debba
Tayr Falsay
Tayr Harfa
Teffahta
Temnine El Faouqa
Temnine Et Tahta
Terbol (Minieh-Danniyeh)
Terbol (Zahleh)
Tfail
Thoum
Tibnine
Tikrit
Tiri
Tleil
Touayteh
Toul
Toula
Toula Ej Joubbeh
Touline
Toura
Tourza
Tourzaiya
Tripoli
Yahchouch
Yahfoufa
Yammouneh
Yanouh
Yanouh (Sour)
Yanta
Yarine
Yaroun (Bent Jbeil)
Yater
Yohmor
Yohmor (Beqaa Ouest)
Younine
Zaaitreh
Zaarouriyeh
Zabboud
Zabbougha
Zahleh
Zahleh El Maallaqa 
Zaitoun
Zakrit
Zakroun
Zalqa
Zandouqa
Zane
Zaoutar Ech Charqiyeh
Zaoutar El Gharbiyeh
Zaraaoun
Zebqine
Zefta
Zeghdraiya
Zeita
Zgharta
Zgharta El Mtaouileh
Zghartaghrine
Zhilta
Zibdine
Zibdine
Zighrine
Zighrine El Hermel
Zilaya
Zouarib
Zouk Mkayel
Zouk Mosbeh
Zouq El Hassineh
Zouq El Hbalsa
Zouq El Kharab
Zouq El Moqachrine
Zouq Haddara
Zrariyeh
Zrazir
Koura 
Baabda 
Jbeil 
Nabatiyeh 
Sour 
Aakkar 
Aakkar 
Batroun 
Bcharreh 
Aaley 
Saida 
Kesrouane 
Batroun 
Zgharta 
Kesrouane 
Marjaayoun 
Aakkar 
Marjaayoun 
Nabatiyeh 
Saida 
Saida 
Koura 
Aakkar 
Zgharta 
Aakkar 
Kesrouane 
Aakkar 
Batroun 
Aaley 
Zahleh 
Baalbek 
Zgharta 
Sour 
Chouf 
Marjaayoun 
Jbeil 
Jbeil 
Jbeil 
Aakkar 
Matn 
Aakkar 
Jbeil 
Chouf 
Beqaa Ouest 
Chouf 
Marjaayoun 
Aakkar 
Beqaa Ouest 
Aakkar 
Zahleh 
Jbeil 
Chouf 
Saida 
Baalbek 
Aakkar 
Aakkar 
Batroun 
Rachaiya 
Kesrouane 
Baalbek 
Jbeil 
Saida 
Saida 
Aakkar 
Nabatiyeh 
Saida 
Baabda 
Kesrouane 
Aaley 
Jezzine 
Jbeil 
Jezzine 
Baabda 
Zgharta 
Aakkar 
Zgharta 
Aakkar 
Baalbek 
Batroun 
Minieh-Danniyeh 
Matn 
Chouf 
Jezzine 
Rachaiya 
Minieh-Danniyeh 
Aaley 
Baalbek 
Aakkar 
Matn 
Aakkar 
Matn 
Bent Jbeil 
Rachaiya 
Beqaa Ouest 
Bent Jbeil 
Aaley 
Sour 
Jezzine 
Minieh-Danniyeh 
Kesrouane 
Nabatiyeh 
Aaley 
Zahleh 
Matn 
Kesrouane 
Jbeil 
Jbeil 
Minieh-Danniyeh 
Baalbek 
Koura 
Matn 
Aaley 
Matn 
Marjaayoun 
Rachaiya 
Rachaiya 
Sour 
Aakkar 
Aakkar 
Sour 
Nabatiyeh 
Baalbek 
Aaley 
Aaley 
Bent Jbeil 
Saida 
Jbeil 
Kesrouane 
Aaley 
Chouf 
Aaley 
Jbeil 
Aaley 
Chouf 
Matn 
Aaley 
Jezzine 
Matn 
Kesrouane 
Aaley 
Baabda 
Baalbek 
Aaley 
Matn 
Matn 
Matn 
Beqaa Ouest 
Minieh-Danniyeh 
Aakkar 
Matn 
Rachaiya 
Hasbaiya 
Jbeil 
Jbeil 
Zahleh 
Aaley 
Jezzine 
Baabda 
Chouf 
Nabatiyeh 
Chouf 
Hasbaiya 
Matn 
Aakkar 
Aaley 
